Complexity metrics,Wed, 3 Jun 2020 18:27:59 EEST
Method,ev(G),iv(G),v(G)
"com.example.parking.ui.homescreen.HomeScreenPresenter.HomeScreenPresenter(HomeScreenView,UserDAO)",1,1,1
"com.example.parking.ui.homescreen.HomeScreenPresenter.checkForVehicle()",1,1,1
"com.example.parking.ui.homescreen.HomeScreenPresenter.notificationIntent()",1,1,1
"com.example.parking.ui.homescreen.HomeScreenPresenter.profileIntent()",1,1,1
"com.example.parking.ui.homescreen.HomeScreenPresenter.requestIntent()",1,2,2
"com.example.parking.ui.homescreen.HomeScreenPresenter.spaceIntent()",1,2,2
"com.example.parking.ui.login.LoginPresenter.LoginPresenter(LoginView,UserDAO)",1,1,1
"com.example.parking.ui.login.LoginPresenter.forgot(String)",2,2,2
"com.example.parking.ui.login.LoginPresenter.login(String,String)",1,2,2
"com.example.parking.ui.login.LoginPresenter.signup()",1,1,1
"com.example.parking.ui.login.MainActivity.createToast(String)",1,1,1
"com.example.parking.ui.login.MainActivity.getPassword()",1,1,1
"com.example.parking.ui.login.MainActivity.getUsername()",1,1,1
"com.example.parking.ui.login.MainActivity.moveOn()",1,1,1
"com.example.parking.ui.login.MainActivity.onActivityResult(int,int,Intent)",1,2,3
"com.example.parking.ui.login.MainActivity.onCreate(Bundle)",1,1,1
"com.example.parking.ui.login.MainActivity.signup()",1,1,1
"com.example.parking.ui.loginTest.LoginPresenterTest.forgotUserDoesntExistTest()",1,1,1
"com.example.parking.ui.loginTest.LoginPresenterTest.forgotUserExistsTest()",1,1,1
"com.example.parking.ui.loginTest.LoginPresenterTest.loginUserDoesntExist()",1,1,1
"com.example.parking.ui.loginTest.LoginPresenterTest.loginUserExists()",1,1,1
"com.example.parking.ui.loginTest.LoginPresenterTest.setup()",1,1,1
"com.example.parking.ui.loginTest.LoginPresenterViewStub.LoginPresenterViewStub()",1,1,1
"com.example.parking.ui.loginTest.LoginPresenterViewStub.createToast(String)",1,1,1
"com.example.parking.ui.loginTest.LoginPresenterViewStub.getPassword()",1,1,1
"com.example.parking.ui.loginTest.LoginPresenterViewStub.getToast()",1,1,1
"com.example.parking.ui.loginTest.LoginPresenterViewStub.getUsername()",1,1,1
"com.example.parking.ui.loginTest.LoginPresenterViewStub.moveOn()",1,1,1
"com.example.parking.ui.loginTest.LoginPresenterViewStub.setPassword(String)",1,1,1
"com.example.parking.ui.loginTest.LoginPresenterViewStub.setUsername(String)",1,1,1
"com.example.parking.ui.loginTest.LoginPresenterViewStub.signup()",1,1,1
"com.example.parking.ui.newParking.NewParkingPresenter.NewParkingPresenter(NewParkingView,UserDAO,ParkingSpaceDAO)",1,1,1
"com.example.parking.ui.newParking.NewParkingPresenter.add()",1,2,2
"com.example.parking.ui.newParking.NewParkingPresenter.setPlate()",1,2,2
"com.example.parking.ui.newParking.NewParkingSpace.getBtnReferencesOfDateTime()",1,1,1
"com.example.parking.ui.newParking.NewParkingSpace.getCredits()",1,1,1
